route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"aus:vic:vic-01-ABY:","","Albury","Albury - Melbourne Via Seymour","2","8F1A95","FFFFFF"
"aus:vic:vic-01-ART:","","Ararat","Ararat - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"aus:vic:vic-01-BAT:","","Ballarat","Ballarat - Melbourne Via Melton","2","8F1A95","FFFFFF"
"aus:vic:vic-01-BDE:","","Bairnsdale","Bairnsdale - Melbourne Via Traralgon & Sale","2","8F1A95","FFFFFF"
"aus:vic:vic-01-BGO:","","Bendigo","Bendigo - Melbourne Via Sunbury","2","8F1A95","FFFFFF"
"aus:vic:vic-01-ECH:","","Echuca","Echuca/Moama - Melbourne Via Bendigo or Heathcote","2","8F1A95","FFFFFF"
"aus:vic:vic-01-GEL:","","Geelong","Geelong - Melbourne Via Geelong","2","8F1A95","FFFFFF"
"aus:vic:vic-01-MBY:","","Maryborough","Maryborough - Melbourne Via Ballarat","2","8F1A95","FFFFFF"
"aus:vic:vic-01-SER:","","Seymour","Seymour - Melbourne Via Broadmeadows","2","8F1A95","FFFFFF"
"aus:vic:vic-01-SNH:","","Shepparton","Shepparton - Melbourne Via Seymour","2","8F1A95","FFFFFF"
"aus:vic:vic-01-SWL:","","Swan Hill","Swan Hill - Melbourne Via Bendigo","2","8F1A95","FFFFFF"
"aus:vic:vic-01-TRN:","","Traralgon","Traralgon - Melbourne Via Pakenham, Moe & Morwell","2","8F1A95","FFFFFF"
"aus:vic:vic-01-WBL:","","Warrnambool","Warrnambool - Melbourne Via Geelong & Colac","2","8F1A95","FFFFFF"
