route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2302","2-ALM-vpt-1.1.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2304","2-ALM-vpt-1.1.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2305","2-ALM-vpt-1.2.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2306","2-ALM-vpt-1.1.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2307","2-ALM-vpt-1.2.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2308","2-ALM-vpt-1.1.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2309","2-ALM-vpt-1.2.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2310","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2311","2-ALM-vpt-1.2.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2312","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2313","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2314","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2315","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2316","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2317","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2318","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2319","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2320","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2321","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2322","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2323","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2324","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2325","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2326","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2327","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2328","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2329","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2330","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2331","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2332","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2333","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2334","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2335","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2336","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2337","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2338","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2339","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2340","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2341","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2342","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2343","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2344","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2345","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2346","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2347","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2348","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2349","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2350","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2351","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2352","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2353","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2354","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2355","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2356","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2357","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2358","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2359","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2360","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2361","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2362","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2363","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2364","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2365","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2366","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2367","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2368","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2369","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2370","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2371","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2372","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2373","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2374","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2375","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2376","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2377","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2378","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2379","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2380","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2381","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2382","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2383","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2384","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2385","2-ALM-vpt-1.4.H","Alamein","0","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2386","2-ALM-vpt-1.3.R","Camberwell","1","","1"
"aus:vic:vic-02-ALM:","T2_2","02-ALM--1-T2-2387","2-ALM-vpt-1.4.H","Alamein","0","","1"
